amount,amount_log,threshold_proximity,amount_roundness,is_near_threshold,exceeds_atm_daily,exceeds_tier1_daily,hour_of_day,is_late_night,is_weekend,inter_txn_interval_seconds,daily_txn_count,hourly_txn_count,daily_velocity,amount_vs_customer_mean,amount_zscore,channel_consistency,hour_consistency,sum_1h,sum_24h,sum_7d,count_1h,count_24h,cross_account_sum_24h,cross_account_threshold_ratio,cross_account_sum_6h,cross_account_ratio_6h,max_single_24h,cov_24h,accounts_per_customer,account_age_days,unique_counterparties_24h,tier_numeric,channel_numeric,type_numeric,is_suspicious,suspicious_typology,transaction_id,account_id,customer_id
100,4.61512051684126,2e-05,1.0,0,0,0,20,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,100,100,100,1,1,100,2e-05,100,2e-05,100,0,1,0,1,1,0,3,0,normal,TXN-63CB1191,ACC-1014,CUST-2011
14890.0,9.608512282590205,0.002978,0.9993284083277367,0,0,0,7,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,14890.0,14890.0,14890.0,1,1,14890.0,0.002978,14890.0,0.002978,14890.0,0,1,0,1,1,1,2,0,normal,TXN-FB2D676F,ACC-1004,CUST-2003
200,5.303304908059076,4e-05,1.0,0,0,0,17,0,0,35737.0,2,1,0.08333333333333333,0.026507620941020542,-1.0,1,0,200,15090.0,15090.0,1,2,15090.0,0.003018,200,4e-05,14890.0,0.9734923790589795,1,0,1,1,1,3,0,normal,TXN-06CF3720,ACC-1004,CUST-2003
187004.15,12.138891435564453,0.037400829999999996,0.9999778079791277,0,0,1,22,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,187004.15,187004.15,187004.15,1,1,187004.15,0.037400829999999996,187004.15,0.037400829999999996,187004.15,0,1,0,1,1,1,0,0,normal,TXN-9BBF345A,ACC-1016,CUST-2012
500,6.2166061010848646,0.0001,1.0,0,0,0,9,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,500,500,500,1,1,500,0.0001,500,0.0001,500,0,1,0,1,1,1,3,0,normal,TXN-0C749792,ACC-1001,CUST-2001
1000,6.90875477931522,0.0002,1.0,0,0,0,16,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,1000,1000,1000,1,1,1000,0.0002,1000,0.0002,1000,0,1,0,1,1,0,3,0,normal,TXN-708B3B0B,ACC-1012,CUST-2009
21790.97,9.98929683229631,0.004358194,0.9995856081670528,0,0,0,17,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,21790.97,21790.97,21790.97,1,1,21790.97,0.004358194,21790.97,0.004358194,21790.97,0,1,0,1,2,1,1,0,normal,TXN-2729D95E,ACC-1013,CUST-2010
500,6.2166061010848646,0.0001,1.0,0,0,0,13,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,500,500,500,1,1,500,0.0001,500,0.0001,500,0,1,0,1,2,0,3,0,normal,TXN-9C542435,ACC-1009,CUST-2006
45425.97,10.723861260513322,0.009085194,0.9994283005954523,0,0,0,15,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,45425.97,45425.97,45425.97,1,1,45425.97,0.009085194,45425.97,0.009085194,45425.97,0,1,0,1,2,1,0,0,normal,TXN-F7E62008,ACC-1005,CUST-2004
100,4.61512051684126,2e-05,1.0,0,0,0,12,0,0,-27988.0,2,2,0.08333333333333333,1.0,0.0,1,0,200,200,200,2,2,200,4e-05,200,4e-05,100,0.0,1,-1,1,1,0,3,0,normal,TXN-9442E0F2,ACC-1014,CUST-2011
47313.3,10.76456785437025,0.009462660000000001,0.9997188951098316,0,0,1,11,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,47313.3,47313.3,47313.3,1,1,47313.3,0.009462660000000001,47313.3,0.009462660000000001,47313.3,0,1,0,1,1,3,1,0,normal,TXN-95CBC119,ACC-1003,CUST-2002
15300.0,9.635673464721814,0.00306,1.0,0,0,0,16,0,0,3135.0,2,2,0.08333333333333333,0.5039030253448401,-1.0,0,1,60725.97,60725.97,60725.97,2,2,60725.97,0.012145194,60725.97,0.012145194,45425.97,0.4960969746551599,1,0,1,2,3,2,0,normal,TXN-200D0A08,ACC-1005,CUST-2004
118353.05,11.68143583488894,0.02367061,0.99960330553374,0,0,0,18,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,118353.05,118353.05,118353.05,1,1,118353.05,0.02367061,118353.05,0.02367061,118353.05,0,1,0,1,2,2,0,0,normal,TXN-A33B6A32,ACC-1020,CUST-2016
35765.56,10.484768657653596,0.007153112,0.9990370624701528,0,0,1,16,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,35765.56,35765.56,35765.56,1,1,35765.56,0.007153112,35765.56,0.007153112,35765.56,0,1,0,1,1,3,1,0,normal,TXN-2234D0FF,ACC-1007,CUST-2005
13250.0,9.491828300264636,0.00265,0.9962264150943396,0,0,0,16,0,0,-2183.0,2,2,0.08333333333333333,0.7562576035994437,-1.0,0,1,35040.97,35040.97,35040.97,2,2,35040.97,0.007008194000000001,35040.97,0.007008194000000001,21790.97,0.24374239640055628,1,-1,1,2,3,2,0,normal,TXN-3E606453,ACC-1013,CUST-2010
